	# handlers	# handlers finais	# pacotes	# final handlers por pacotes		# final handlers of external	# resignaler handlers external -> any	# resignaler handlers external -> project		# final handlers of checked	# resignaler handlers checked -> any	# resignaler handlers checked -> unchecked		# project exceptions	# project types		# project exceptions	# subtypes of project exceptions		# handlers	# resignaler handlers	# resignaler handlers with logging actions	# final handlers	# final handlers with logging actions		# handlers	# resignaler handlers with calls to dedicated handlers	# final handlers with calls to dedicated handlers	# handlers per dedicated handler		
[771255] RUB-NDS-TLS-Attacker	330	189	120	21 17 15 14 14 9 8 7 5 4 4 4 4 4 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		6	6	0		148	112	86		26	1010		26	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		330	141	6	189	140		330	0	0	0		
[774003] apereo-cas	725	610	583	44 37 24 23 18 16 15 15 14 12 12 11 11 10 9 8 8 8 8 7 7 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		71	30	14		495	82	53		39	2742		39	13 10 6 4 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		725	115	33	610	467		725	0	3	1 1 1		
[776206] DV8FromTheWorld-JDA	128	95	75	19 16 11 8 7 6 6 5 4 3 3 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		8	1	0		63	24	17		10	450		10	2 0 0 0 0 0 0 0 0 0		128	33	2	95	50		128	0	5	3 1 1		
[787174] cdapio-cdap	2286	1382	499	81 44 42 35 33 33 26 26 26 25 24 22 19 18 17 17 17 16 15 15 14 14 14 13 13 12 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 9 9 9 9 9 9 9 8 8 8 8 8 8 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		162	117	49		1111	653	271		109	3575		109	12 12 5 4 2 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2286	904	80	1382	538		2286	27	24	17 8 5 3 3 3 2 2 2 1 1 1 1 1 1		
[788450] umple-umple	4681	4334	242	2074 390 340 183 132 101 83 83 79 56 56 36 36 33 32 28 27 26 26 24 21 20 19 18 16 14 14 14 12 11 10 10 10 10 10 9 9 9 9 9 9 8 8 8 7 7 7 7 7 7 7 6 6 6 5 5 5 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2476	4	0		1714	273	38		10	4073		10	3 0 0 0 0 0 0 0 0 0		4681	347	28	4334	879		4681	0	55	15 10 9 8 6 3 2 1 1		
[800590] spring-projects-spring-integration	743	359	249	48 26 12 10 10 9 9 9 8 7 7 7 7 6 6 6 6 6 6 5 5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		53	50	4		273	293	130		21	1544		21	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		743	384	14	359	136		743	1	13	4 3 3 1 1 1 1		
[802415] exercism-java	0	0	0	0		0	0	0		0	0	0		0	0		0	0		0	0	0	0	0		0	0	0	0		
[820673] jenetics-jenetics	36	13	27	7 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		13	19	10		0	364		0	0		36	23	0	13	2		36	0	0	0		
[826356] opentable-otj-pg-embedded	31	17	3	17 0 0		0	1	0		16	12	4		0	17		0	0		31	14	0	17	11		31	0	0	0		
[827318] jdbi-jdbi	136	22	61	5 4 3 2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	3	1		21	108	102		21	368		21	18 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		136	114	1	22	1		136	11	0	9 2		
[832570] lviggiano-owner	40	25	11	13 8 2 1 1 0 0 0 0 0 0		0	1	0		24	14	10		3	51		3	2 0 0		40	15	0	25	1		40	6	0	6		
[835565] duydo-elasticsearch-analysis-vietnamese	0	0	3	0 0 0		0	0	0		0	0	0		0	6		0	0		0	0	0	0	0		0	0	0	0		
[835759] pentaho-pentaho-platform	2043	1590	283	105 87 73 60 48 40 37 36 36 31 31 30 30 29 26 25 24 24 24 22 21 21 21 21 19 17 17 15 14 14 13 12 12 12 12 12 12 12 11 11 11 10 10 10 10 10 9 8 8 8 8 8 8 8 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		328	82	53		1093	325	171		97	1698		97	18 12 6 6 5 4 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2043	453	69	1590	624		2043	7	133	73 50 5 5 2 1 1 1 1 1		
[839671] DV8FromTheWorld-JDA	127	94	75	19 16 11 8 7 6 5 5 4 3 3 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		8	1	0		63	24	17		10	450		10	2 0 0 0 0 0 0 0 0 0		127	33	2	94	49		127	0	5	3 1 1		
[844332] relaxng-jing-trang	341	202	68	34 18 15 14 12 8 8 8 8 7 7 6 6 5 4 4 4 4 4 3 3 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		37	35	18		132	90	34		51	959		51	6 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		341	139	0	202	1		341	7	15	5 4 3 3 2 2 2 1		
[846565] huanghongxun-HMCL	221	167	35	25 17 16 14 13 10 9 9 9 6 6 6 4 4 3 3 2 2 2 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0		19	7	2		144	40	10		25	427		25	8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		221	54	2	167	78		221	0	9	3 2 2 2		
[849899] 3pillarlabs-socialauth	211	53	31	27 6 5 3 3 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1	2	1		50	154	3		10	109		10	0 0 0 0 0 0 0 0 0 0		211	158	1	53	18		211	0	0	0		
[855773] javaparser-javaparser	91	21	55	6 3 2 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1	29	0		12	23	20		4	578		4	0 0 0 0		91	70	0	21	6		91	0	5	5		
[859431] gmessner-gitlab4j-api	107	50	6	40 9 1 0 0 0		2	0	0		46	56	2		1	235		1	0		107	57	0	50	1		107	19	37	37 19		
[878704] strongbox-strongbox	262	167	175	18 11 11 9 9 8 7 6 6 5 4 4 4 4 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		26	12	6		127	77	30		43	780		43	2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		262	95	10	167	88		262	0	1	1		
[879361] Yubico-java-u2flib-server	43	15	13	5 4 3 2 1 0 0 0 0 0 0 0 0		0	5	4		15	20	5		10	47		10	6 4 1 1 0 0 0 0 0 0		43	28	0	15	8		43	0	0	0		
[880045] openkm-document-management-system	3154	759	174	142 131 84 55 38 36 23 23 22 21 16 14 14 12 12 11 10 10 10 9 8 8 6 6 6 5 5 5 3 2 2 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		70	502	472		666	1874	177		27	1339		27	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		3154	2395	1100	759	461		3154	0	0	0		
[885474] allure-framework-allure-java	39	24	34	8 4 2 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		4	3	0		20	12	10		2	99		2	0 0		39	15	1	24	14		39	1	3	3 1		
[903300] spring-projects-spring-data-jdbc	8	6	19	4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		5	0	0		2	2	1		2	187		2	0 0		8	2	0	6	2		8	0	0	0		
[903756] awslabs-amazon-kinesis-agent	112	88	12	25 16 15 15 9 4 3 1 0 0 0 0		4	4	2		79	16	10		3	177		3	0 0 0		112	24	1	88	45		112	0	1	1		
[904070] sialcasa-mvvmFX	26	19	77	4 4 2 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		18	5	5		0	225		0	0		26	7	0	19	12		26	0	1	1		
[904082] samtools-htsjdk	511	104	54	34 20 10 6 6 4 4 3 3 2 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2	28	0		69	330	325		25	724		25	9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		511	407	0	104	13		511	3	8	5 2 2 2		
[904575] EssentialsX-Essentials	357	290	32	141 46 13 12 11 11 10 8 6 6 6 4 4 3 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0		10	0	0		208	41	3		19	380		19	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		357	67	0	290	104		357	1	4	3 2		
[904820] protostuff-protobuf-jetbrains-plugin	12	11	14	3 3 2 2 1 0 0 0 0 0 0 0 0 0		2	0	0		9	1	1		0	122		0	0		12	1	0	11	3		12	0	0	0		
[906638] usethesource-rascal	920	632	106	113 65 60 36 28 27 23 22 21 17 14 13 13 13 12 11 10 9 9 8 7 7 7 7 7 6 6 5 5 5 5 4 4 3 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		61	39	25		377	151	102		80	1868		80	47 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		920	288	5	632	43		920	6	7	6 6 1		
[909220] huaban-jieba-analysis	12	12	3	6 4 2		0	0	0		12	0	0		0	11		0	0		12	0	0	12	5		12	0	0	0		
[913977] JavaMoney-jsr354-ri	69	45	11	16 7 7 6 5 2 1 1 0 0 0		1	6	0		39	17	4		0	125		0	0		69	24	2	45	36		69	0	0	0		
[923723] kristian-system-hook	12	7	7	3 1 1 1 1 0 0		0	0	0		6	5	4		0	11		0	0		12	5	0	7	0		12	0	0	0		
[924208] hazelcast-hazelcast	1306	787	404	47 37 37 25 24 22 21 20 20 19 19 18 17 16 14 14 14 13 13 11 11 11 10 10 9 9 9 9 8 8 8 8 8 7 7 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		3	2	0		672	455	417		79	3957		79	60 8 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1306	519	5	787	191		1306	328	224	318 88 20 18 6 6 6 6 4 4 4 3 3 3 3 3 2 3 2 2 2 2 2 2 2 1 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1		
[926202] openmrs-openmrs-core	672	469	69	73 66 57 35 27 19 19 19 17 14 13 13 12 12 12 10 9 9 6 6 5 4 3 3 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		34	28	5		390	158	95		59	638		59	47 7 5 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		672	203	35	469	263		672	2	12	4 4 2 1 1 1 1		
[926387] simon987-Much-Assembly-Required	76	68	29	19 8 7 7 6 5 3 2 2 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0		3	0	0		52	2	1		15	272		15	8 2 1 0 0 0 0 0 0 0 0 0 0 0 0		76	8	1	68	32		76	0	0	0		
[932384] MovingBlocks-Terasology	521	405	300	84 25 22 20 17 13 12 12 9 7 7 7 6 6 6 5 5 5 5 5 5 5 5 4 4 4 4 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		55	59	5		304	47	34		17	2046		17	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		521	116	4	405	195		521	0	16	8 6 2		
[936485] liquibase-liquibase	668	226	87	41 29 18 13 12 11 9 8 8 6 6 6 5 5 4 4 3 3 3 3 3 3 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		2	5	5		207	419	151		36	794		36	18 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		668	442	4	226	46		668	4	24	24 3 1		
[949143] GumTreeDiff-gumtree	53	37	36	9 5 5 4 3 2 2 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1	10	10		31	4	4		4	230		4	0 0 0 0		53	16	0	37	28		53	0	2	2		
[953945] unitsofmeasurement-unit-api	10	4	4	4 0 0 0		0	0	0		4	6	0		5	9		5	3 1 0 0 0		10	6	0	4	0		10	0	0	0		
[954270] MovingBlocks-DestinationSol	31	24	36	7 4 4 4 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	2	1		21	2	0		1	299		1	0		31	7	2	24	11		31	0	0	0		
[975710] ExtraCells-ExtraCells2	30	28	47	13 2 2 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		27	2	2		0	236		0	0		30	2	0	28	6		30	0	3	3		
[977442] flipkart-incubator-zjsonpatch	1	0	1	0		0	0	0		0	1	1		3	13		3	1 0 0		1	1	0	0	0		1	0	0	0		
[981277] apache-groovy	1045	612	146	74 60 47 45 25 19 18 16 16 16 14 13 13 13 13 12 12 12 11 11 10 10 8 7 7 6 6 6 5 4 4 4 4 4 4 4 4 4 4 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		26	4	0		423	241	154		50	1656		50	19 7 5 3 3 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1045	433	8	612	79		1045	81	72	69 18 13 13 6 5 4 3 3 3 2 2 2 1 1 1 1 1 1 1 1 1 1		
